"","X10","X30","X50","X70","X90","X0.9","X1","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"87",2,1,2,2,3,2,1,2,2,3,1.98074e-10,1.98074e-10,2.00868808042245e-10,1.41099187285836
"88",3,2,2,2,1,3,2,2,2,1,1.99716e-10,1.99716e-10,1.97875202357878e-10,0.921707645918213
"89",3,1,2,3,1,3,1,2,3,1,1.73633e-10,1.73633e-10,1.99809817090408e-10,15.07594586882
"90",1,1,1,2,5,1,1,1,2,5,1.76937e-10,1.76937e-10,2.00762085831776e-10,13.4652932014086
"91",1,1,0,0,8,1,1,0,0,8,2.12461e-10,2.12461e-10,2.04413170613277e-10,3.78790902176048
"92",1,2,1,1,5,1,2,1,1,5,2.20401e-10,2.20401e-10,1.98827471099246e-10,9.78830808424365
"93",2,0,3,3,2,2,0,3,3,2,2.11606e-10,2.11606e-10,2.0236353662248e-10,4.36776999589826
"94",0,0,1,2,7,0,0,1,2,7,1.91664e-10,1.91664e-10,2.03755691516144e-10,6.30879639167703
"95",1,3,2,1,3,1,3,2,1,3,2.1913e-10,2.1913e-10,1.94847370899817e-10,11.0813805048066
"96",4,2,1,2,1,4,2,1,2,1,1.98082e-10,1.98082e-10,1.98861696872939e-10,0.39362328376098
"97",2,0,3,0,5,2,0,3,0,5,1.7297e-10,1.7297e-10,2.07180334566287e-10,19.7781896087685
"98",2,1,3,0,4,2,1,3,0,4,2.10751e-10,2.10751e-10,2.03640120519154e-10,3.37406678063016
"99",2,0,0,1,7,2,0,0,1,7,2.04682e-10,2.04682e-10,2.06894393708573e-10,1.08089314574458
"100",1,0,2,0,7,1,0,2,0,7,2.18781e-10,2.18781e-10,2.07073612355818e-10,5.35119029722975
